	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
12x30	1355.6092718774091	1075.526223762117	783.9792969205243	433.7143506964
12x32	1424.8392990088391	1130.0186494036282	826.8171672141307	423.05790147449073
13x13	1154.0843161571859	1149.6871786707893	1109.8520121169308	1181.617657620264
13x15	1121.628039770761	1080.1312603568142	1014.6996499457364	1066.9716114311568
13x17	1103.2284786026873	1022.1695143174638	927.3511718868963	955.9445360479863
13x19	1101.068412225144	979.3312250714768	851.626519314658	845.9486322466629
13x21	1112.8399139139462	950.5342255805413	786.0508596776671	734.2787713123671
13x23	1133.7005574665648	936.4567016151893	735.3917010682128	629.9943126727412
13x25	1167.3086757152112	939.6235333366229	704.6743534427799	535.5514022015066
13x27	1214.7906501121913	960.8571400577716	697.1329310827313	456.80122985823937
13x29	1273.6814069460227	998.7511433785695	713.0746990322963	397.7971422722892
13x31	1340.9969958206473	1049.413923483008	749.2223854103668	366.78808977391833
13x33	1415.8215766119686	1111.6160923628265	802.8049930088875	374.00547696524444
14x12	1122.3521851896578	1146.067462063207	1129.6179299214402	1222.078110269552
14x14	1083.2031894340043	1069.29439800272	1027.8033808078274	1103.668043208645
14x16	1055.9240777631694	1001.5959155268155	932.0255672458775	987.0091681438423
14x18	1044.0003463600956	947.4030626929593	845.8101697189503	875.3274834026404
14x20	1048.1330925030468	908.8337469526537	771.2901008051381	766.8806293028923
14x22	1065.6492565567714	885.5800009033627	708.7752379986197	654.388766712877
