	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
10x28	162.56850863559012	162.53159692810485	439.28933517671464	643.5159050093479
10x30	107.3804190716351	106.38042301100319	518.8298318331359	740.2967475276384
10x32	161.03801538767163	161.01118718896512	614.4872678908814	845.5554638224506
10x34	248.08783122112206	247.64032789511475	677.7179147698545	937.8226122247212
10x36	322.864901777818	322.7130998270756	618.6984279921841	990.4124720539417
11x17	818.8977435553232	818.7472347434219	553.5937087792815	411.8911438717758
11x19	692.8929767287296	692.7089123145449	456.6024498401207	385.628055514637
11x21	566.7161381150179	566.4897361823954	375.09004412274123	387.47214248252726
11x23	439.33791322853085	439.0415492866252	323.4737732799987	414.16494540219105
11x25	313.134044140844	312.92467080752846	314.2679264576643	472.412203059997
11x29	76.90498033287571	76.919542380334	433.6845120591693	655.2085591626529
11x31	75.2634625831153	75.11716714573305	528.4320474763051	760.6033583938478
11x33	167.07764422567152	166.86934769453637	634.2732685522859	857.4557360004073
11x35	235.96340139945443	235.63048784060194	595.0976447609247	919.825095765494
11x37	335.82442198267853	335.53283356476476	542.9006192665466	931.8200482925873
12x18	753.4027900134162	753.389888437587	469.5251260582333	337.89572947878446
12x20	624.3551713568168	624.3317867928878	370.24718770032536	329.8268939913784
12x22	499.17135695069675	499.1415466578593	293.5720756475314	339.9626503014705
12x24	371.0745930402673	371.0398814143838	255.07589772457905	389.39259571799755
