	dist_type_3	dist_type_ambigious	dist_type_central	dist_type_portal
18x52	86.8784207959606	1001.7573857975793	86.97735337431232	304.08002236253543
18x54	146.18837163057827	1119.7835683738176	146.97768538114914	423.9349478398782
18x56	196.881791946335	1239.7793513363576	197.27503643390853	546.2086048388472
19x23	288.58075126383596	456.93943800026705	289.2432367402909	601.6959780487151
19x25	175.5339568288711	371.78376780058574	176.29909245370487	582.4370953158804
19x27	88.17527998254384	291.9234146141757	88.51146818350715	453.2157102307905
19x29	75.53866559583925	265.73010743986066	76.46365149533487	330.5154913162166
19x31	71.3487911600468	290.0162926457753	71.49020911985062	220.85436377848632
19x33	3.649657518179313	347.21163574972553	3.676955262170401	139.56045285108516
19x35	122.42785630729657	348.3007034158843	123.00479665443969	82.30054677825676
19x37	100.55809266289785	331.98694251431016	101.43140539300414	143.62008912405003
19x39	115.25623627379127	349.86425939212484	115.42096863222038	254.27544120500508
19x41	218.52107449854816	402.24353319848416	219.43167501525397	221.47744806187373
19x43	337.90972167133646	484.4157099021459	338.3964834332651	171.3317833911733
19x45	293.81002365474166	580.2965879617079	294.7116047935674	89.00747159648989
19x47	184.9493173818168	691.4356441491861	185.67242660125925	0.5
19x49	126.75665662993788	804.6528754686708	127.7554304129573	105.80004725896887
19x51	80.054044245122	918.3532272497333	80.50124222643991	221.8464559103888
19x53	60.0354062199966	1039.7633625012954	60.910179773170974	346.32477531935257
19x55	123.26402557112915	1161.5515571854742	123.99846773246828	471.3877597053195
19x57	184.51940277380038	1262.876720032482	184.5963434090718	595.9308768640873
20x22	368.6571442410957	481.312466075833	369.49058174735666	555.9648280242193
20x24	258.3028067985325	374.4910412813636	258.78860098543754	542.4016408529753
20x26	171.2337583538949	276.79776010654416	171.55115855044545	535.3243876380004
20x28	133.9005974594588	214.6447530222902	133.94315958644557	413.7887987850807
20x30	137.87675656179297	217.10918911920788	138.8092215956848	306.6427889254856
20x32	14.003570973147886	265.10997717928325	14.90301982820895	220.81055228407888
20x34	51.29249457766735	323.98598735130474	51.881788712418505	153.3222749635551
20x36	114.73033600578337	276.40414251599043	115.33191232265229	153.69336355223683
20x38	28.228000283406484	275.72598716842043	28.524024961425003	229.17334050888218
20x40	139.0141359718501	319.0302963669751	139.41065239069798	227.15001650891398
20x42	255.5754291789415	397.9597969644674	256.1827472723332	138.51931273291788
20x44	337.3160239300822	496.3515890978895	338.29232920656034	123.02723275762973
20x46	211.26686914895078	606.8023483804263	212.20812896776573	69.92631836440384
20x48	101.11666529311543	721.3133715660623	101.82426037050274	23.970398411374177
20x50	80.09656671793134	838.9027714818926	80.54973618827081	145.71842711201663
20x52	1.8867962264116291	960.3864638779539	0.3999999999996362	271.52487915474745
20x54	77.50774154882826	1082.8471960530721	78.0387724147424	397.97317748813197
20x56	97.15739807137685	1187.281752576026	97.16151501494808	521.1600138153349
21x21	446.519562841316	519.7687177966752	447.39570851763875	526.7839405297012
21x23	345.24066967841435	401.09340558029606	345.6433421896045	486.99375766019824
21x25	251.44860309812816	283.19463271750027	251.66406179667368	484.82182294117075
21x27	189.17187951701467	188.76122483179617	201.4790311670175	498.2858617299911
21x29	150.2133149890513	150.22995706582608	191.84170558040833	392.69458870730585
21x31	94.84007591730386	183.89736267820712	95.44443409649386	304.1141890803517
21x33	9.113725912051695	262.1752467339355	10.112368664165817	232.91599343969503
21x35	122.6592434348101	241.54065910318283	123.06295137042669	196.2312156615252
21x37	42.96940772223875	216.92664658819572	43.41393785410384	230.88605414792823
21x39	57.031657875253885	240.77709608681639	57.41437102329006	261.7521919678992
21x41	175.06653021066037	309.22368926070345	175.87748576779254	147.7954329470297
21x43	305.8160394747144	411.5476278634103	306.00498361954834	57.458245709384414
21x45	261.6694479682331	524.716399591246	262.6680414515627	121.39728168291101
21x47	136.07001874035285	638.7494422698153	137.0665896562688	28.60157338329475
21x49	13.908630414242594	761.2721261152284	14.77328670269395	75.80006596303217
21x51	57.23154724450494	883.9316998501638	57.760280470233184	203.9000980872742
21x53	35.386014186398945	1006.1302947431811	35.71232280320096	330.6000151240169
21x55	15.226949793047922	1113.37821965404	15.134728276384813	460.9002712084254
21x57	124.9092470556124	1153.13378235138	125.39505572390011	583.4001371271694
22x20	537.4515047890368	575.8144840137315	538.2331465080908	508.03594361029207
22x22	430.18767997235796	446.09756780327757	430.6182067678977	447.85627158721354
22x24	327.73895099606324	328.06648716380636	338.8409951584961	429.3656017894306
22x26	206.8533055090006	207.27201933690887	274.3678005889174	440.29954576401735
22x28	112.86775447398594	112.73832533792566	244.7029423607326	479.7500703491349
22x30	108.584068813063	108.8600018372221	178.9315511585366	386.4537488497168
22x32	84.0360041886811	179.59690977296898	84.27484796782507	313.07323424400255
22x34	90.75555079442812	235.96815463108564	91.44599499157972	256.30678882932466
22x36	107.14891506683567	168.85819494475234	107.70464242547747	258.1168146401935
22x38	2.024845673131333	167.80137067378206	2.9154759474222836	295.5883962539798
